LocationID	ApogeeID
0	5045	2M00003987+6236456
1	4590	2M00005196+0022164
2	4548	2M00020972+1612294
3	5067	2M00023036+8524194
4	4548	2M00023179+1521164
5	4548	2M00024286+1516102
6	4264	2M00025048+5711383
7	4264	2M00025489+5648212
8	4548	2M00031620+1514100
9	4590	2M00031962-0017109
10	4590	2M00040032+0040267
11	4287	2M00041959+7547098
12	4287	2M00042503+7344200
13	4590	2M00050265+0116236
14	4590	2M00051577-0003172
15	5067	2M00054486+8453193
16	4120	2M00062867+6955129
17	4287	2M00064418+7541165
18	4590	2M00065234+0151397
19	4590	2M00065508+0154022
20	4287	2M00065841+7528039
21	5067	2M00070631+8524175
22	4590	2M00073999+0105391
23	4590	2M00092179+0038065
24	4590	2M00092573+0036224
25	4424	2M00093745+5823242
26	4120	2M00113351+6949071
27	5038	2M00121056-1417065
28	5038	2M00131552-1352015
29	5038	2M00132431-1410460
30	4287	2M00134096+7542057
31	4287	2M00134329+7346435
32	4119	2M00134571+6557495
33	5038	2M00135228-1356185
34	5067	2M00140613+8541300
35	4119	2M00150792+6559126
36	5038	2M00151077-1416285
37	5038	2M00152075-1422215
38	5067	2M00155291+8507242
39	5046	2M00160071+7403548
40	5067	2M00170781+8551505
41	5038	2M00171253-1446283
42	5038	2M00171482-1510258
43	5038	2M00171655-1252423
44	5038	2M00171810-1453037
45	5046	2M00174148+7338153
46	4250	2M00174625+5856272
47	5038	2M00182381-1511057
48	5038	2M00182768-1412225
49	4119	2M00185323+6749130
50	5038	2M00191193-1504318
51	5046	2M00194158+7350330
52	5038	2M00194534-1404204
53	5038	2M00194821-1524079
54	5038	2M00202076-1407381
55	5052	2M00202240+6850491
56	5038	2M00202684-1408080
57	5038	2M00204650-1506252
58	5097	2M00204764+5711451
59	5038	2M00204973-1315091
60	4217	2M00210873+8401299
61	4250	2M00212949+5806379
62	5038	2M00215362-1447430
63	4120	2M00215480+7114390
64	5038	2M00221221-1327561
65	5038	2M00222465-1431542
66	5067	2M00224443+8448486
67	4250	2M00230500+5803223
68	4250	2M00230917+5954349
69	5097	2M00232817+5708446
70	5097	2M00242328+5657197
71	4243	2M00242588+6221034
72	4250	2M00252677+5819348
73	4119	2M00255226+6523008
74	4243	2M00265252+6359169
75	4243	2M00271068+6403434
76	4120	2M00274757+6956505
77	4256	2M00280680+5558136
78	4243	2M00285215+6144060
79	4250	2M00290829+6001421
80	5097	2M00300613+5719559
81	4256	2M00302865+5553105
82	4250	2M00303743+5943247
83	4119	2M00304380+6752210
84	5097	2M00315685+5743383
85	4286	2M00322425+5101119
86	5067	2M00343487+8452069
87	5067	2M00344379+8522254
88	4286	2M00344435+5159462
89	5067	2M00350429+8459198
90	4256	2M00360002+5519491
91	5067	2M00363416+8529046
92	4286	2M00372323+4950469
93	4476	2M00373172+1720548
94	4250	2M00373811+5912258
95	5067	2M00385579+8605109
96	5067	2M00395336+8431073
97	5097	2M00400630+5644107
98	4412	2M00404034+3944338
99	4476	2M00411160+1717571
100	4476	2M00411929+1718359
101	5067	2M00412224+8428397
102	5049	2M00414733+0215501
103	5049	2M00422213+0344227
104	4412	2M00422730+3925001
105	5049	2M00424339+0347249
106	5135	2M00430593-1205334
107	4476	2M00430671+1913146
108	4217	2M00430905+8407348
109	5135	2M00431061-1125472
110	4413	2M00434801+4216557
111	4476	2M00435946+1808423
112	5049	2M00440889+0143590
113	5067	2M00441812+8516024
114	5135	2M00442548-1143490
115	4413	2M00442889+4012195
116	4476	2M00443313+1734287
117	4476	2M00443463+1719220
118	4217	2M00444105+8351358
119	5135	2M00450744-1122188
120	5049	2M00450988+0418467
121	4476	2M00451272+1846114
