LocationID,ApogeeID,min_log(R51),min_log(R101),min_log(R151),min_log(R151/R101),min_log(R101/R51),max_log(xr),Identifier
0,5045,2M00003987+6236456,0.871,0.9857,1.0229,-0.0232,0.0772,0.6066,JRC
1,4590,2M00005196+0022164,0.6908,0.7826,0.8429,-0.0024,-0.099,0.9188,JRC
2,4548,2M00020972+1612294,0.9732,1.0451,1.0991,-0.0604,0.0719,1.436,JRC
3,5067,2M00023036+8524194,0.7425,0.4393,0.5169,0.0531,-0.3033,1.3746,JRC
4,4548,2M00023179+1521164,0.5041,0.635,0.7164,0.0571,0.1309,1.0512,JRC
5,4548,2M00024286+1516102,0.9763,1.1021,1.1124,0.0069,0.1258,0.7404,JRC
6,4264,2M00025048+5711383,0.8935,1.0141,1.0815,-0.0032,0.0272,0.6368,JRC
7,4264,2M00025489+5648212,0.6259,0.7509,0.8077,0.0178,-0.0178,1.3627,JRC
8,4548,2M00031620+1514100,0.7138,0.821,0.9019,0.0366,0.0923,1.6298,JRC
9,4590,2M00031962-0017109,0.9525,0.9971,1.0334,-0.0932,-0.2715,1.2987,JRC
10,4590,2M00040032+0040267,0.9844,1.1164,1.1982,0.0654,0.1255,0.5576,JRC
11,4287,2M00041959+7547098,0.9718,0.9061,0.9445,0.013999999999999999,-0.0656,1.3537,JRC
12,4287,2M00042503+7344200,0.8684,0.9721,1.0215,-0.1317,0.0091,1.4349,JRC
13,4590,2M00050265+0116236,0.4263,0.5593,0.6348,-0.0171,-0.0053,0.9655,JRC
14,4590,2M00051577-0003172,0.8349,0.9792,1.054,-0.0493,0.0088,1.4456,JRC
15,5067,2M00054486+8453193,0.9589,1.0773,1.1389,0.0616,0.1185,0.6284,JRC
16,4120,2M00062867+6955129,0.3368,0.4846,0.5718,0.0857,0.1478,0.6946,JRC
17,4287,2M00064418+7541165,0.9404,0.8927,0.8226,-0.0701,-0.1735,1.4592,JRC
18,4590,2M00065234+0151397,0.4701,0.5612,0.6305,0.0445,-0.3527,1.3524,JRC
19,4590,2M00065508+0154022,0.4525,0.5828,0.6653,0.0729,0.1303,0.9756,JRC
20,4287,2M00065841+7528039,0.8069,0.7791,0.7327,-0.1147,-0.1248,1.5394,JRC
21,5067,2M00070631+8524175,0.7878,0.7247,0.6737,-0.051,-0.0631,1.3585,JRC
22,4590,2M00073999+0105391,0.7515,0.5614,0.5203,-0.0412,-0.3539,1.4602,JRC
23,4590,2M00092179+0038065,0.6069,0.3794,0.4084,-0.0404,-0.7440000000000001,1.615,JRC
24,4590,2M00092573+0036224,0.9761,1.0483,0.9468,-0.1018,0.0318,1.4638,JRC
25,4424,2M00093745+5823242,0.9422,0.9129999999999999,0.9803,0.0265,-0.0292,1.1073,JRC
26,4120,2M00113351+6949071,0.8327,0.981,1.0588,-0.1184,-0.1322,1.0934,JRC
27,5038,2M00121056-1417065,0.9003,1.0058,1.0659,0.0572,0.1055,0.7496,JRC
28,5038,2M00131552-1352015,0.9694,1.0656,0.9915,-0.0741,0.0962,0.5643,JRC
29,5038,2M00132431-1410460,0.6028,0.4206,0.5051,0.084,-0.2399,1.2825,JRC
30,4287,2M00134096+7542057,0.6599,0.718,0.7088,-0.0257,0.0274,1.4771,JRC
31,4287,2M00134329+7346435,0.4765,0.5710000000000001,0.6335,0.0516,-0.0142,1.4603,JRC
32,4119,2M00134571+6557495,0.9035,0.8769,0.8536,-0.0679,-0.0537,1.6821,JRC
33,5067,2M00140613+8541300,0.3888,0.4823,0.5691,0.0722,0.0934,1.0897,JRC
34,5038,2M00142509-1319392,0.9892,0.9403,0.9158,-0.3775,-0.0489,1.4849,JRC
35,4119,2M00150792+6559126,0.5044,0.6296,0.7133,-0.0601,-0.2149,1.2946,JRC
36,5038,2M00151077-1416285,0.7014,0.8376,0.8937,-0.0288,0.0539,1.3084,JRC
37,5038,2M00152075-1422215,0.8955,0.8812,0.9252,0.0108,-0.0143,0.6233,JRC
38,5067,2M00155291+8507242,0.494,0.6375,0.7215,0.084,0.1411,0.6576,JRC
