LocationID	ApogeeID
0	4264	2M00003968+5722329
1	4548	2M00023179+1521164
2	4548	2M00031620+1514100
3	4120	2M00062867+6955129
4	4590	2M00065508+0154022
5	4590	2M00065658+0013309
6	5038	2M00132431-1410460
7	5067	2M00140613+8541300
8	5038	2M00151077-1416285
9	5067	2M00155291+8507242
10	5046	2M00160071+7403548
11	5038	2M00164080-1346471
12	5067	2M00170781+8551505
13	5038	2M00171366-1436005
14	5038	2M00171482-1510258
15	5038	2M00171810-1453037
16	5038	2M00182381-1511057
17	5038	2M00182768-1412225
18	5046	2M00194158+7350330
19	5038	2M00194821-1524079
20	5038	2M00215362-1447430
21	5067	2M00224443+8448486
22	4119	2M00245632+6731240
23	4243	2M00265252+6359169
24	4120	2M00274757+6956505
25	4256	2M00280680+5558136
26	5097	2M00300613+5719559
27	4256	2M00302865+5553105
28	4119	2M00304380+6752210
29	5097	2M00315685+5743383
30	5067	2M00344379+8522254
31	4256	2M00360002+5519491
32	5067	2M00363416+8529046
33	4250	2M00373811+5912258
34	5067	2M00385579+8605109
35	5097	2M00400630+5644107
36	4476	2M00411929+1718359
37	5067	2M00412224+8428397
38	5049	2M00424339+0347249
39	4217	2M00430905+8407348
40	5135	2M00431061-1125472
41	5067	2M00441812+8516024
42	5135	2M00442548-1143490
43	4476	2M00443313+1734287
44	4476	2M00443463+1719220
45	5135	2M00450744-1122188
46	5049	2M00450988+0418467
47	4476	2M00451272+1846114
48	5049	2M00453126+0217282
49	5049	2M00461801+0314195
50	5067	2M00463801+8441448
51	5049	2M00465778+0235576
52	4476	2M00470197+1751448
53	5113	2M00475434+3924136
54	5113	2M00493192+4026429
55	5049	2M00493470+0356177
56	5049	2M00500064+0237292
57	5135	2M00511245-1324437
58	5113	2M00512463+4034022
59	5113	2M00524843+4117222
60	5135	2M00525268-1211446
61	5113	2M00531758+3917111
62	5099	2M00581292+6332015
63	4217	2M00593409+8503084
64	5099	2M01031300+6145544
65	5099	2M01053914+6251242
66	4414	2M01103850+6655525
67	5058	2M01124427+7438149
68	4217	2M01173510+8617084
69	4318	2M01232188+6220546
70	4477	2M01273255+1554320
71	4318	2M01325477+6205304
72	4217	2M01343480+8456365
73	5136	2M01410040-1811188
74	5136	2M01430161-1657145
75	4425	2M01434427+6604240
76	5136	2M01443396-1749560
77	5136	2M01450899-1801153
78	5111	2M01502985+3818110
79	5111	2M01521669+3815063
80	4472	2M01531032-0131086
81	4472	2M01531397-0206266
82	4472	2M01540092-0306019
83	5060	2M01540426+6221236
84	4472	2M01550987-0302298
85	5111	2M01551917+3749154
86	4472	2M01562189-0223547
87	5060	2M01572718+6300502
88	4472	2M01583450-0349002
89	4416	2M01593686+6533283
90	4416	2M02064174+6556593
91	4309	2M02072992+5427212
92	4309	2M02082405+5454197
93	4478	2M02101477+1256234
94	4478	2M02112068+1356170
95	4478	2M02112972+1313487
96	4478	2M02112973+1359128
97	5138	2M02132398-0519076
98	4309	2M02142206+5422331
99	5138	2M02142396-0438240
100	5138	2M02145818-0512455
101	5138	2M02154713-0452082
102	5138	2M02161345-0624484
103	5138	2M02181589-0405513
104	5138	2M02183775-0349029
105	5138	2M02191633-0630572
106	5138	2M02211174-0625243
107	5138	2M02221362-0549194
108	4271	2M02270767+5924201
109	4271	2M02290160+6124289
110	5050	2M02301066-0847529
111	5078	2M02304751+1109474
112	5050	2M02313915-0724130
113	5050	2M02321538-0731561
114	5056	2M02341898+4658542
115	5050	2M02342325-0828557
116	4271	2M02353225+6048063
117	5050	2M02360422-0902545
118	5050	2M02374642-0831591
119	5112	2M02410821+3813590
120	4479	2M02411197+0727401
121	5112	2M02440872+3711366
122	2045	2M02450567-0021040
123	2045	2M02452851+0119225
124	2045	2M02453568-0006180
125	4479	2M02453726+0813530
126	5139	2M02455385-1310597
127	2045	2M02472690-0012224
128	2045	2M02475375-0018587
129	2046	2M02475652-0109384
130	2046	2M02483216+0040142
131	2046	2M02484712+0043573
132	4479	2M02484723+0719196
133	5112	2M02490823+3709411
134	4479	2M02491256+0815300
135	5139	2M02501196-1251273
136	5089	2M02505788-1622540
137	5112	2M02510025+3830098
138	5089	2M02512773-1649482
139	5089	2M02515474-1832026
140	5089	2M02521673-1622002
141	5112	2M02521895+3812193
142	5061	2M02523349+5909085
143	5089	2M02524754-1637073
144	5089	2M02552957-1701149
145	5089	2M02553173-1831351
146	5089	2M02560347-1615285
147	5089	2M02564291-1619537
148	5089	2M02570266-1654376
149	5089	2M02570326-1827017
150	5062	2M03002780+4516191
151	5062	2M03033759+4507204
152	4551	2M03103688+6312022
153	4428	2M03110855+5251034
154	4551	2M03111284+6312062
155	4480	2M03122509+0021585
156	4319	2M03154267+5704335
157	4480	2M03154293+0158412
158	2049	2M03154774-0115042
159	4480	2M03160020+0009462
160	4205	2M03160395+8020506
161	4480	2M03165649+0218013
162	2049	2M03191419-0049388
163	4480	2M03193359+0100209
164	5144	2M03210130+1928347
165	2049	2M03211751+0007418
166	5144	2M03221246+2102067
167	4554	2M03222918+5134159
168	5144	2M03234624+2130164
169	2051	2M03243521+0050234
170	4471	2M03244182+0932025
171	2051	2M03250179+0026052
172	4587	2M03250916+3126099
173	4587	2M03251775+3046269
174	2052	2M03253087+0124441
175	4471	2M03253827+0734548
176	4471	2M03262324+0827228
177	4471	2M03272650+0900312
178	4587	2M03282360+3221348
179	4587	2M03285425+3037402
180	4587	2M03290740+3110490
181	5144	2M03292078+2003429
182	4587	2M03292204+3124153
183	4587	2M03292369+3125095
184	2052	2M03294819-0030066
185	2094	2M03301875+0059222
