LocationID	ApogeeID	Visit	SNR	xRng	R51	R101	R151	R151/101	R101/51
4217	2M00023036+8524194	0	111.58	17.021	3.859	3.317	3.968	0.078	-0.066
4217	2M00023036+8524194	1	65.261	19.042	6.666	2.894	3.512	0.084	-0.362
4217	2M00023036+8524194	2	134.918	19.166	6.054	2.909	3.535	0.085	-0.318
4217	2M00023036+8524194	3	95.8608	15.862	2.569	3.012	3.657	0.084	0.069
4548	2M00023179+1521164	0	77.4308	5.726	4.41	6.043	7.183	0.075	0.137
4548	2M00023179+1521164	1	78.9378	5.54	9.717	13.297	15.167	0.057	0.136
4548	2M00023179+1521164	2	40.5454	11.9	3.192	4.316	5.204	0.081	0.131
4590	2M00050265+0116236	0	30.7408	7.793	5.941	8.254	9.775	0.073	0.143
4590	2M00050265+0116236	1	37.8749	1.816	12.417	12.267	11.792	-0.017	-0.005
4590	2M00050265+0116236	2	46.3372	10.9	2.669	3.625	4.314	0.076	0.133
4590	2M00050265+0116236	3	48.2876	1.2	7.74	10.878	13.125	0.082	0.148
4590	2M00050265+0116236	4	40.2967	2.807	6.08	8.347	10.103	0.083	0.138
4590	2M00050265+0116236	5	43.4096	5.667	4.746	6.68	8.108	0.084	0.148
4120	2M00062867+6955129	1	31.3835	4.632	2.437	3.436	4.188	0.086	0.149
4120	2M00062867+6955129	2	41.1621	6.004	2.172	3.052	3.731	0.087	0.148
4120	2M00062867+6955129	4	30.4754	4.109	2.563	3.608	4.396	0.086	0.149
4120	2M00062867+6955129	5	35.9257	2.888	2.667	3.759	4.58	0.086	0.149
4590	2M00065234+0151397	0	319.646	21.998	8.762	3.89	4.667	0.079	-0.353
4590	2M00065234+0151397	1	371.561	27.495	3.548	4.875	5.896	0.083	0.138
4590	2M00065234+0151397	2	430.665	5.754	13.092	17.365	19.237	0.044	0.123
4590	2M00065234+0151397	3	369.6	21.867	8.164	3.641	4.271	0.069	-0.351
4590	2M00065234+0151397	4	363.804	21.326	2.952	4.089	4.964	0.084	0.142
4590	2M00065234+0151397	5	383.469	8.47	2.993	4.098	4.973	0.084	0.137
4590	2M00065508+0154022	0	28.9301	3.753	3.919	5.372	6.378	0.075	0.137
4590	2M00065508+0154022	1	29.014	6.558	2.868	3.995	4.869	0.086	0.144
4590	2M00065508+0154022	2	35.5209	1.879	3.817	5.371	6.476	0.081	0.148
4590	2M00065508+0154022	3	42.0693	9.472	2.835	3.827	4.627	0.082	0.13
4590	2M00065508+0154022	4	41.8978	1.87	3.896	5.45	6.607	0.084	0.146
4590	2M00065508+0154022	5	41.3347	1.752	6.684	9.181	10.86	0.073	0.138
4217	2M00090703+8427517	0	81.0375	15.326	4.172	4.159	5.057	0.085	-0.001
4217	2M00090703+8427517	1	52.5388	14.228	3.967	4.518	5.493	0.085	0.056
4217	2M00090703+8427517	3	78.559	17.476	9.447	4.608	5.567	0.082	-0.312
4287	2M00134329+7346435	0	139.9	23.893	2.995	3.724	4.3	0.063	0.095
4287	2M00134329+7346435	1	83.9606	7.183	3.775	4.699	5.292	0.052	0.095
4287	2M00134329+7346435	2	145.086	27.517	4.937	4.778	5.795	0.084	-0.014
4119	2M00150792+6559126	0	25.1802	18.516	6.987	5.033	6.144	0.087	-0.142
4119	2M00150792+6559126	1	21.3147	5.509	5.252	7.372	8.862	0.08	0.147
4119	2M00150792+6559126	2	13.1457	5.38	5.278	6.992	7.684	0.041	0.122
4119	2M00150792+6559126	3	24.3467	9.262	4.346	6.1	7.421	0.085	0.147
4119	2M00150792+6559126	4	20.4893	14.713	9.114	5.813	7.015	0.082	-0.195
4119	2M00150792+6559126	5	13.7914	30.764	3.195	4.262	5.168	0.084	0.125
4119	2M00150792+6559126	6	25.561	7.631	4.75	6.601	8.06	0.087	0.143
4119	2M00150792+6559126	7	24.0478	8.038	4.443	6.012	7.307	0.085	0.131
4119	2M00150792+6559126	8	29.874	19.475	9.468	5.772	6.964	0.082	-0.215
4119	2M00150792+6559126	9	25.4359	7.6	4.647	6.116	7.189	0.07	0.119
4119	2M00150792+6559126	10	24.6525	1.023	19.948	22.921	19.958	-0.06	0.06
4119	2M00150792+6559126	11	28.2094	12.808	5.337	6.626	7.942	0.079	0.094
4217	2M00170781+8551505	0	63.8935	2.7	13.473	16.645	19.521	0.069	0.092
4217	2M00170781+8551505	1	35.3155	1.309	10.942	14.011	16.068	0.06	0.107
4217	2M00170781+8551505	2	77.1825	2.485	3.023	4.25	5.19	0.087	0.148
4217	2M00170781+8551505	3	56.0694	3.413	3.119	4.392	5.3	0.082	0.149
4250	2M00174625+5856272	0	20.1751	13.772	3.827	5.27	6.404	0.085	0.139
4250	2M00174625+5856272	1	16.5822	14.522	6.256	7.846	8.865	0.053	0.098
4250	2M00174625+5856272	2	21.2631	7.272	5.884	8.274	9.887	0.077	0.148
4250	2M00174625+5856272	3	15.4043	10.338	6.072	8.03	9.429	0.07	0.121
4250	2M00174625+5856272	4	11.8685	7.664	9.278	11.148	12.48	0.049	0.08
4250	2M00174625+5856272	5	23.4777	11.831	18.522	12.288	12.892	0.021	-0.178
4119	2M00245632+6731240	0	45.95	0.0	15.987	21.65	25.856	0.077	0.132
4119	2M00245632+6731240	1	39.2589	0.0	15.892	21.032	24.673	0.069	0.122
4119	2M00245632+6731240	2	28.0123	1.638	5.597	7.781	9.246	0.075	0.143
4119	2M00245632+6731240	3	43.2151	1.137	17.844	24.448	27.998	0.059	0.137
4119	2M00245632+6731240	4	36.166	0.0	18.039	22.838	26.835	0.07	0.102
4119	2M00245632+6731240	5	26.2869	1.232	10.898	12.509	13.271	0.026	0.06
4120	2M00254729+7011069	0	23.1505	6.3	3.621	5.006	6.006	0.079	0.141
4120	2M00254729+7011069	1	43.5247	1.514	5.972	8.191	9.748	0.076	0.137
4120	2M00254729+7011069	2	43.0031	0.0	12.947	16.715	19.334	0.063	0.111
4120	2M00254729+7011069	3	35.6224	1.232	13.26	16.555	17.034	0.012	0.096
4120	2M00254729+7011069	4	33.3688	0.935	15.571	21.635	22.278	0.013	0.143
4120	2M00254729+7011069	5	40.1959	1.023	14.394	18.967	22.537	0.075	0.12
4243	2M00265252+6359169	0	27.7127	9.047	2.5	3.379	4.097	0.084	0.131
4243	2M00265252+6359169	1	25.99	10.28	2.612	3.442	4.168	0.083	0.12
4243	2M00265252+6359169	2	31.8244	28.48	2.542	3.307	4.022	0.085	0.114
4243	2M00265252+6359169	3	33.4943	16.534	2.789	3.325	4.025	0.083	0.076
4243	2M00265252+6359169	4	29.4031	25.217	3.108	4.345	5.066	0.067	0.145
4243	2M00265252+6359169	5	33.3063	4.787	6.33	8.758	10.188	0.066	0.141
4120	2M00274757+6956505	0	25.1821	0.0	15.887	20.258	23.169	0.058	0.106
4120	2M00274757+6956505	1	19.1148	1.029	11.852	14.639	16.358	0.048	0.092
4120	2M00274757+6956505	2	29.4198	2.327	4.669	6.533	7.834	0.079	0.146
4120	2M00274757+6956505	3	26.7142	1.229	11.37	15.662	17.428	0.046	0.139
4120	2M00274757+6956505	4	24.0047	2.7	14.218	17.306	18.448	0.028	0.085
4120	2M00274757+6956505	5	26.4059	1.072	4.306	5.804	6.947	0.078	0.13
4120	2M00274757+6956505	6	14.6392	2.449	2.382	3.345	3.917	0.069	0.147
4120	2M00274757+6956505	7	27.9223	2.7	15.815	22.028	20.288	-0.036	0.144
4120	2M00274757+6956505	8	28.7286	1.029	12.857	17.131	19.507	0.056	0.125
4120	2M00274757+6956505	9	24.2187	0.955	13.919	17.821	19.322	0.035	0.107
4120	2M00274757+6956505	10	24.4715	0.707	5.04	6.983	8.259	0.073	0.142
4120	2M00274757+6956505	11	29.2789	7.111	3.449	4.762	5.621	0.072	0.14
4256	2M00280680+5558136	0	41.9162	7.182	4.613	6.484	7.896	0.086	0.148
4256	2M00280680+5558136	1	42.5038	6.2	4.204	5.907	7.217	0.087	0.148
4256	2M00280680+5558136	2	38.7326	5.625	5.555	7.669	9.229	0.08	0.14
4256	2M00280680+5558136	3	42.7187	5.409	3.986	5.62	6.851	0.086	0.149
4256	2M00280680+5558136	4	40.7356	5.6	4.418	6.206	7.573	0.086	0.148
4119	2M00304380+6752210	0	21.7488	18.439	3.339	4.621	5.482	0.074	0.141
4119	2M00304380+6752210	1	22.7567	3.864	4.614	6.396	7.697	0.08	0.142
4119	2M00304380+6752210	2	13.1967	15.29	3.908	4.893	5.341	0.038	0.098
4119	2M00304380+6752210	3	20.6881	5.375	3.467	4.837	5.705	0.072	0.145
4119	2M00304380+6752210	4	18.7996	22.8	3.605	4.9	5.778	0.072	0.133
4119	2M00304380+6752210	5	13.6164	41.581	2.509	3.476	4.114	0.073	0.142
4119	2M00304380+6752210	6	19.6383	12.192	5.085	6.539	7.755	0.074	0.109
4119	2M00304380+6752210	7	23.3547	3.818	4.98	6.835	8.124	0.075	0.138
4119	2M00304380+6752210	9	27.7742	4.067	3.884	5.136	6.04	0.07	0.121
4119	2M00304380+6752210	10	19.4081	3.923	3.858	5.202	6.137	0.072	0.13
4256	2M00360002+5519491	0	29.0692	3.129	2.779	3.85	4.6	0.077	0.142
4256	2M00360002+5519491	1	32.407	4.789	4.743	6.321	7.512	0.075	0.125
4256	2M00360002+5519491	2	28.1444	3.188	2.621	3.62	4.422	0.087	0.14
4256	2M00360002+5519491	3	15.7017	16.475	4.016	4.774	5.433	0.056	0.075
4256	2M00360002+5519491	4	31.0379	4.534	5.799	7.814	9.163	0.069	0.13
4256	2M00360002+5519491	5	19.759	4.176	7.081	9.451	10.827	0.059	0.125
4256	2M00360002+5519491	6	30.094	10.5	2.736	3.619	4.381	0.083	0.121
4256	2M00360002+5519491	7	32.2682	1.275	2.544	3.502	4.226	0.082	0.139
4256	2M00360002+5519491	8	30.285	4.833	3.345	4.412	5.221	0.073	0.12
4256	2M00360002+5519491	9	33.2622	5.523	2.992	4.023	4.76	0.073	0.129
4256	2M00360002+5519491	10	32.5826	1.902	5.32	7.416	8.739	0.071	0.144
4256	2M00360002+5519491	11	36.7315	4.196	5.243	6.721	7.736	0.061	0.108
4243	2M00370544+6247057	0	38.1801	4.022	8.55	11.799	14.037	0.075	0.14
4243	2M00370544+6247057	1	39.1581	2.82	8.118	11.343	13.657	0.081	0.145
4243	2M00370544+6247057	2	34.9672	12.433	5.689	7.741	9.218	0.076	0.134
4243	2M00370544+6247057	3	36.2924	0.0	18.187	24.128	25.46	0.023	0.123
4243	2M00370544+6247057	4	38.7373	11.852	4.948	6.69	8.157	0.086	0.131
4243	2M00370544+6247057	5	34.0153	1.164	13.981	18.176	20.937	0.061	0.114
4250	2M00373811+5912258	1	42.5645	10.984	4.688	6.557	7.912	0.082	0.146
4250	2M00373811+5912258	2	49.7825	9.602	4.616	6.498	7.876	0.084	0.149
4476	2M00411929+1718359	0	54.4832	11.518	4.67	6.331	7.698	0.085	0.132
4476	2M00411929+1718359	1	53.9381	11.112	4.339	5.935	7.146	0.081	0.136
4217	2M00430905+8407348	0	45.7174	4.536	2.956	4.133	5.028	0.085	0.146
4217	2M00430905+8407348	1	49.8427	15.536	2.946	3.063	3.676	0.079	0.017
4217	2M00430905+8407348	2	48.2851	4.909	3.34	4.655	5.615	0.081	0.144
4217	2M00430905+8407348	3	71.1615	16.726	3.542	3.261	3.976	0.086	-0.036
4217	2M00430905+8407348	4	60.3021	15.635	2.723	2.956	3.617	0.088	0.036
4217	2M00430905+8407348	5	68.3194	10.3	3.183	4.44	5.403	0.085	0.144
4217	2M00430905+8407348	6	64.1214	2.595	8.174	11.086	12.974	0.068	0.132
4217	2M00430905+8407348	7	54.1039	2.595	9.988	13.427	15.65	0.067	0.128
4217	2M00430905+8407348	8	67.6964	10.263	2.63	3.678	4.49	0.087	0.146
4217	2M00430905+8407348	9	68.7191	5.006	4.17	5.749	6.982	0.084	0.139
4476	2M00443313+1734287	0	71.6063	9.432	5.642	7.327	8.58	0.069	0.114
4476	2M00443313+1734287	2	71.1257	9.22	5.908	7.525	8.549	0.055	0.105
4476	2M00443463+1719220	0	87.2572	27.243	2.416	3.337	3.677	0.042	0.14
4476	2M00443463+1719220	2	88.2439	1.411	11.24	15.539	15.577	0.001	0.141
4476	2M00462111+1758470	0	133.002	0.935	14.592	20.134	24.291	0.082	0.14
4476	2M00462111+1758470	2	140.027	0.875	14.953	19.885	22.983	0.063	0.124
4476	2M00470197+1751448	0	82.8568	19.756	5.145	7.197	8.695	0.082	0.146
